#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name
1,Banco di Sardegna Sassari,37,40.3,88.1,31.6,64.5,0.489,10.1,26.6,0.381,14.8,19.0,0.78,8.8,21.5,30.4,16.0,8.2,1.8,12.7,18.9,2013,Italian-Lega-Basket-Serie-A
2,Sutor Montegranaro,30,40.3,83.0,30.6,66.0,0.463,7.6,21.6,0.352,14.2,18.5,0.771,10.0,21.3,31.3,12.0,6.7,1.2,13.3,21.0,2013,Italian-Lega-Basket-Serie-A
3,OpenJobMetis Varese,42,40.2,81.8,29.3,63.3,0.462,7.5,21.2,0.355,15.7,21.2,0.742,10.4,24.5,34.8,13.3,11.4,3.1,14.8,21.0,2013,Italian-Lega-Basket-Serie-A
4,Enel Brindisi,30,40.2,81.4,30.6,63.0,0.485,7.9,22.7,0.349,12.3,17.2,0.717,8.3,21.7,30.0,13.4,8.9,3.5,16.8,20.8,2013,Italian-Lega-Basket-Serie-A
5,AX Armani Exchange Milan,37,40.5,80.9,29.1,60.3,0.482,8.5,22.8,0.373,14.2,18.9,0.751,9.4,23.8,33.2,14.8,6.5,2.9,15.9,21.1,2013,Italian-Lega-Basket-Serie-A
6,Vanoli Cremona,30,40.2,79.9,29.7,63.2,0.47,6.6,18.8,0.349,13.9,19.1,0.725,9.1,22.3,31.4,12.5,7.3,1.2,14.3,20.0,2013,Italian-Lega-Basket-Serie-A
7,Umana Venezia,35,40.4,78.7,28.6,61.8,0.463,6.8,21.2,0.323,14.6,19.5,0.749,9.8,23.4,33.2,12.2,8.1,2.2,16.1,22.7,2013,Italian-Lega-Basket-Serie-A
8,Sidigas Avellino,30,40.5,77.8,27.7,59.8,0.463,7.9,22.0,0.358,14.6,19.9,0.734,10.2,23.0,33.1,12.1,10.6,2.1,17.7,20.6,2013,Italian-Lega-Basket-Serie-A
9,Mens Sana 1871 Siena,49,40.1,77.1,27.4,60.5,0.454,8.9,24.4,0.364,13.4,18.1,0.738,8.5,22.4,30.9,13.4,7.3,3.2,14.1,22.2,2013,Italian-Lega-Basket-Serie-A
10,Virtus Roma,49,40.3,76.5,27.4,60.0,0.458,6.8,18.8,0.36,14.9,21.0,0.708,11.3,23.5,34.9,10.9,7.7,2.9,16.2,20.1,2013,Italian-Lega-Basket-Serie-A
11,Grissin Bon Reggio Emilia,37,40.0,75.9,28.3,62.1,0.455,7.2,20.9,0.344,12.2,17.2,0.712,9.0,21.4,30.3,11.5,10.1,2.6,14.7,22.9,2013,Italian-Lega-Basket-Serie-A
12,Acqua San Bernardo Cantu,44,40.2,75.3,27.7,58.3,0.474,7.5,20.3,0.37,12.6,17.1,0.734,8.5,23.6,32.1,12.9,6.3,3.2,16.0,20.1,2013,Italian-Lega-Basket-Serie-A
13,Virtus Bologna,30,40.2,75.0,26.6,59.7,0.445,7.2,21.1,0.34,14.7,21.0,0.698,8.5,22.4,30.9,10.2,7.3,1.5,15.8,19.8,2013,Italian-Lega-Basket-Serie-A
14,Carpegna Prosciutto Basket Pesaro,30,40.0,74.8,26.0,59.0,0.44,9.4,26.4,0.357,13.5,18.8,0.716,7.8,22.2,30.1,10.3,10.1,2.4,16.2,20.4,2013,Italian-Lega-Basket-Serie-A
15,Edilnol Pallacanestro Biella,30,40.5,72.3,27.5,61.7,0.446,5.7,19.2,0.295,11.8,15.5,0.76,8.7,19.6,28.3,10.7,8.2,1.1,16.5,22.5,2013,Italian-Lega-Basket-Serie-A
16,Pasta Reggia JuveCaserta,30,40.7,72.1,25.1,57.3,0.438,6.5,19.7,0.33,15.4,20.3,0.762,8.7,23.4,32.1,9.1,8.8,1.4,17.3,20.5,2013,Italian-Lega-Basket-Serie-A
