#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,S.S. Basket Napoli,42,40.5,89.3,30.5,61.0,0.5,9.6,23.3,0.41,18.8,23.7,0.791,9.5,23.5,33.0,9.8,10.4,2.5,15.4,22.7,2006,Italian-Lega-Basket-Serie-A,0
2,Fortituto Kontatto Bologna,47,40.5,85.0,29.2,62.1,0.47,10.2,25.8,0.397,16.5,22.7,0.725,11.3,22.2,33.4,14.0,12.3,2.4,15.4,25.4,2006,Italian-Lega-Basket-Serie-A,0
3,Virtus Bologna,34,40.1,84.9,29.7,62.7,0.474,7.5,20.0,0.374,18.0,24.7,0.728,11.0,23.2,34.2,13.2,13.6,1.7,16.0,25.2,2006,Italian-Lega-Basket-Serie-A,0
4,Pallalcesto Amatori Udine,37,40.3,82.8,28.5,63.0,0.453,9.6,26.9,0.358,16.1,22.7,0.707,9.6,23.7,33.4,11.2,11.3,2.2,15.8,21.6,2006,Italian-Lega-Basket-Serie-A,0
5,Grissin Bon Reggio Emilia,34,41.0,82.2,29.6,62.9,0.471,7.9,21.4,0.366,15.1,21.0,0.721,9.1,20.4,29.6,11.5,12.6,2.7,15.6,24.3,2006,Italian-Lega-Basket-Serie-A,0
6,Banca Tercas Teramo,34,40.0,81.9,29.7,65.0,0.457,8.1,24.1,0.335,14.5,21.6,0.669,10.5,23.3,33.8,10.5,8.9,1.9,13.9,22.6,2006,Italian-Lega-Basket-Serie-A,0
7,AX Armani Exchange Milan,39,40.3,81.8,28.4,59.4,0.478,9.2,23.9,0.383,15.8,21.6,0.73,9.7,24.5,34.2,11.9,12.5,1.3,16.6,24.0,2006,Italian-Lega-Basket-Serie-A,0
8,Orlandina Basket,34,40.6,81.7,28.9,62.1,0.465,7.2,20.7,0.348,16.7,22.7,0.735,9.4,21.8,31.2,10.9,11.7,1.6,15.6,21.5,2006,Italian-Lega-Basket-Serie-A,0
9,Universo De'Longhi Treviso,47,40.4,81.6,28.1,58.8,0.478,8.2,21.2,0.388,17.2,23.4,0.738,9.3,24.5,33.8,12.7,10.5,3.3,14.9,22.7,2006,Italian-Lega-Basket-Serie-A,1
10,TDShop.it Livorno,34,40.7,81.3,28.4,59.0,0.482,7.3,21.4,0.343,17.1,24.1,0.71,10.1,23.3,33.4,12.3,12.2,1.8,18.3,21.5,2006,Italian-Lega-Basket-Serie-A,0
11,Mens Sana 1871 Siena,38,40.3,79.8,27.5,59.0,0.466,9.3,24.3,0.383,15.5,21.8,0.712,10.2,23.1,33.2,12.7,13.6,2.3,16.9,22.9,2006,Italian-Lega-Basket-Serie-A,0
12,Acqua San Bernardo Cantu,34,40.3,79.4,28.0,59.9,0.467,8.2,23.1,0.355,15.2,21.1,0.72,10.9,19.6,30.5,9.9,13.0,1.1,18.2,21.6,2006,Italian-Lega-Basket-Serie-A,0
13,Edilnol Pallacanestro Biella,38,40.3,79.3,27.5,62.6,0.439,8.4,24.1,0.349,15.9,22.7,0.7,11.1,23.6,34.7,12.4,11.2,3.1,15.3,20.9,2006,Italian-Lega-Basket-Serie-A,0
14,Virtus Roma,42,40.5,79.2,27.9,58.6,0.476,7.2,20.5,0.351,16.2,22.7,0.713,8.7,22.7,31.5,10.7,14.9,1.8,15.6,23.2,2006,Italian-Lega-Basket-Serie-A,0
15,OpenJobMetis Varese,34,40.4,77.1,26.8,57.4,0.467,7.4,21.5,0.342,16.1,22.1,0.73,7.8,21.8,29.5,10.2,13.3,2.3,16.3,21.5,2006,Italian-Lega-Basket-Serie-A,0
16,Sidigas Avellino,34,40.0,76.1,26.9,61.9,0.435,7.1,23.9,0.298,15.1,21.8,0.694,11.3,22.1,33.4,11.6,14.1,1.9,17.4,22.0,2006,Italian-Lega-Basket-Serie-A,0
17,Viola Reggio Calabria,34,40.4,75.0,27.7,61.8,0.448,8.5,25.9,0.33,11.1,17.9,0.619,9.7,21.6,31.2,10.1,10.7,1.9,18.9,20.4,2006,Italian-Lega-Basket-Serie-A,0
18,Roseto Sharks,34,40.0,72.5,25.7,61.2,0.42,6.7,21.1,0.317,14.4,19.7,0.731,11.2,22.7,33.9,11.9,10.2,1.1,14.7,20.5,2006,Italian-Lega-Basket-Serie-A,0
