#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Mens Sana 1871 Siena,45,40.1,87.0,29.5,58.8,0.501,9.6,24.1,0.399,18.4,23.4,0.789,9.0,23.4,32.4,13.6,14.7,2.8,14.0,19.8,2008,Italian-Lega-Basket-Serie-A,1
2,Orlandina Basket,37,40.4,86.4,30.7,63.6,0.482,8.2,23.4,0.35,16.9,23.7,0.714,10.5,23.1,33.6,13.5,12.5,2.2,18.0,21.0,2008,Italian-Lega-Basket-Serie-A,0
3,Sidigas Avellino,40,40.1,84.4,30.3,61.9,0.49,9.5,25.1,0.379,14.3,20.0,0.715,10.2,24.2,34.4,15.1,14.9,1.9,17.7,21.6,2008,Italian-Lega-Basket-Serie-A,0
4,Banca Tercas Teramo,34,40.3,83.7,28.9,62.3,0.463,7.8,22.0,0.354,18.2,23.7,0.768,9.3,23.2,32.5,13.2,9.8,2.3,14.5,21.0,2008,Italian-Lega-Basket-Serie-A,0
5,Sutor Montegranaro,39,40.3,82.5,28.9,58.8,0.491,8.2,21.7,0.379,16.6,22.6,0.734,8.4,22.1,30.4,9.5,10.8,2.5,15.4,20.6,2008,Italian-Lega-Basket-Serie-A,0
6,Carpegna Prosciutto Basket Pesaro,34,40.1,81.2,28.7,61.7,0.465,9.7,25.1,0.386,14.1,19.0,0.739,9.9,22.1,31.9,9.6,12.5,2.3,17.9,21.2,2008,Italian-Lega-Basket-Serie-A,0
7,Edilnol Pallacanestro Biella,34,40.4,80.1,28.1,62.0,0.453,7.5,22.7,0.329,16.6,22.6,0.731,11.1,22.9,34.0,10.7,11.2,2.2,18.3,23.6,2008,Italian-Lega-Basket-Serie-A,0
8,AX Armani Exchange Milan,42,40.0,79.6,27.6,58.6,0.472,8.5,22.1,0.383,16.0,21.3,0.749,10.8,23.7,34.5,10.5,11.1,1.9,16.1,22.2,2008,Italian-Lega-Basket-Serie-A,0
9,Virtus Roma,45,40.3,79.6,29.6,60.4,0.49,8.3,23.0,0.361,12.1,16.9,0.713,9.2,22.6,31.8,12.8,13.5,2.4,15.9,24.1,2008,Italian-Lega-Basket-Serie-A,0
10,Solsonica Rieti,34,40.4,79.1,27.4,59.9,0.458,8.5,22.5,0.376,15.7,22.0,0.716,8.7,21.3,30.0,8.2,12.2,1.4,16.5,23.1,2008,Italian-Lega-Basket-Serie-A,0
11,Virtus Bologna,34,40.3,78.9,27.5,59.8,0.46,6.9,21.4,0.32,17.0,23.1,0.736,10.9,22.5,33.3,9.7,12.3,2.1,16.7,21.5,2008,Italian-Lega-Basket-Serie-A,0
12,S.S. Basket Napoli,34,40.4,78.6,28.1,63.3,0.445,9.6,25.9,0.37,12.7,19.2,0.662,10.9,21.1,31.9,11.8,11.8,1.7,15.8,20.7,2008,Italian-Lega-Basket-Serie-A,0
13,Givova Scafati,33,40.0,78.4,27.8,59.5,0.468,8.5,23.5,0.362,14.2,19.1,0.745,9.7,21.5,31.2,9.9,13.4,1.6,16.6,21.8,2008,Italian-Lega-Basket-Serie-A,0
14,OpenJobMetis Varese,34,41.0,78.1,28.0,62.5,0.448,7.9,23.1,0.341,14.2,20.0,0.71,9.8,22.2,32.0,10.3,12.2,1.4,16.0,21.1,2008,Italian-Lega-Basket-Serie-A,0
15,Acqua San Bernardo Cantu,38,40.4,77.9,27.3,58.7,0.465,8.1,21.9,0.367,15.3,21.1,0.728,8.3,22.4,30.7,10.1,11.3,2.7,17.6,19.4,2008,Italian-Lega-Basket-Serie-A,0
16,Fortituto Kontatto Bologna,37,40.3,77.9,26.9,60.2,0.446,7.8,22.8,0.34,16.4,23.3,0.703,10.4,22.3,32.7,11.2,12.5,2.4,16.7,23.0,2008,Italian-Lega-Basket-Serie-A,0
17,Universo De'Longhi Treviso,34,40.1,76.7,27.2,61.7,0.441,8.9,25.1,0.355,13.3,19.6,0.68,11.6,21.8,33.4,10.2,10.4,2.2,14.9,20.6,2008,Italian-Lega-Basket-Serie-A,0
18,Pallalcesto Amatori Udine,34,40.1,76.2,27.1,60.5,0.448,9.5,27.3,0.348,12.5,18.1,0.694,9.1,22.4,31.5,12.2,9.9,2.4,15.6,21.1,2008,Italian-Lega-Basket-Serie-A,0
