#,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year,League_Name,is_Champion
1,Cedevita,32,40.2,86.4,30.0,61.7,0.487,8.6,22.3,0.387,17.8,22.8,0.78,8.6,23.0,31.6,18.7,7.2,2.8,14.1,20.7,2017,Adriatic-League-Liga-ABA,0
2,KK Crvena Zvezda,32,40.2,84.0,30.0,61.1,0.49,8.8,23.7,0.371,15.3,20.3,0.754,6.8,24.6,31.4,21.2,9.3,2.6,11.8,21.0,2017,Adriatic-League-Liga-ABA,1
3,KK Mega Bemax,26,40.2,82.2,28.5,66.6,0.429,9.3,28.7,0.326,15.8,21.5,0.734,11.1,22.2,33.3,17.9,8.2,2.9,14.8,25.1,2017,Adriatic-League-Liga-ABA,0
4,KK Cibona,26,40.4,80.8,28.8,60.4,0.477,7.1,20.5,0.346,16.0,21.6,0.742,8.6,22.3,30.9,20.0,7.4,2.0,14.7,22.3,2017,Adriatic-League-Liga-ABA,0
5,Buducnost,29,40.0,80.2,27.3,58.2,0.47,8.5,24.0,0.354,17.0,22.7,0.748,8.1,23.2,31.3,17.2,6.9,2.8,14.4,21.6,2017,Adriatic-League-Liga-ABA,0
6,KK Partizan,29,40.2,79.6,28.0,61.8,0.453,8.8,25.8,0.341,14.9,20.3,0.732,9.7,22.6,32.2,16.3,5.3,3.3,13.3,24.5,2017,Adriatic-League-Liga-ABA,0
7,Union Olimpija,26,40.8,79.5,27.5,60.3,0.456,8.7,25.7,0.337,15.7,22.4,0.703,9.0,22.6,31.6,16.4,7.9,1.8,15.3,22.3,2017,Adriatic-League-Liga-ABA,0
8,FMP Beograd,26,40.4,78.7,27.6,63.0,0.439,7.3,23.6,0.311,16.2,22.9,0.706,10.0,22.6,32.7,18.3,7.3,3.1,15.7,23.3,2017,Adriatic-League-Liga-ABA,0
9,KK Zadar,26,40.0,78.6,29.0,62.6,0.464,6.0,19.0,0.316,14.5,20.8,0.7,8.8,21.5,30.3,18.5,7.7,1.6,15.4,20.6,2017,Adriatic-League-Liga-ABA,0
10,KK Mornar,26,40.0,77.0,28.3,62.5,0.453,7.8,21.8,0.359,12.6,17.8,0.706,7.7,21.0,28.7,15.0,8.9,3.9,13.9,24.8,2017,Adriatic-League-Liga-ABA,0
11,MZT Skopje Aerodrom,26,40.4,76.7,27.0,58.8,0.458,7.4,21.6,0.342,15.4,21.4,0.718,8.2,23.4,31.6,15.4,5.0,3.0,15.7,22.3,2017,Adriatic-League-Liga-ABA,0
12,Karpos Sokoli,25,40.4,75.2,25.8,59.4,0.435,8.9,25.5,0.348,14.6,19.3,0.758,6.2,21.6,27.8,15.8,7.1,2.4,12.6,23.2,2017,Adriatic-League-Liga-ABA,0
13,BC Igokea,25,40.0,74.8,27.4,61.0,0.449,6.4,21.1,0.305,13.6,18.0,0.754,7.0,24.0,31.0,15.7,5.0,1.4,11.9,19.5,2017,Adriatic-League-Liga-ABA,0
14,Krka Novo Mesto,26,40.0,72.7,26.0,61.6,0.422,7.8,25.0,0.314,12.8,18.9,0.678,8.8,22.0,30.8,16.6,6.4,1.6,13.5,22.0,2017,Adriatic-League-Liga-ABA,0
